id,piece_name,category,era_or_year,materials_gemstones,price_type,asking_price,currency_note,dealer,listing_url,sku,notes,source,first_seen,last_seen,times_seen,status
url:yafasignedjewels.com/products/david-webb-tassel-dusk-necklace,David Webb Tassel 'Dusk' Necklace,necklace,,,asking,225000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-tassel-dusk-necklace,N2613,"18K Gold and Platinum Pink Opal Beads, Amethyst Beads, Faceted Fire Opal Beads, White Enamel, Rock Crystal and Diamond Tassel 'Dusk' Necklace. Approximate Necklace Length - 31"" Approximate Pendant Length - 5.75 Signed - David Webb",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
url:oakgem.com/products/david-webb-carved-jade-diamond-ruby-enamel-gold-platinum-bracelet,David Webb Carved Jade Diamond Ruby Enamel Gold Platinum Bracelet,bracelet,,,asking,220000,USD,Oak Gem,https://oakgem.com/products/david-webb-carved-jade-diamond-ruby-enamel-gold-platinum-bracelet,OG-36037,"One of a kind 18k gold and platinum bracelet by David Webb, set with black enamel, ruby cabochons, carved jade and approx. 14 carats in H/Si1 diamonds. DESIGNER: David Webb MATERIAL : 18k Yellow Gold / Platinum GEMSTONES: Diamond, Ruby, Jade DIMENSIONS: Bracelet will fit approx. 6.5-6.75"" wrist, jad",shopify:oakgem.com,2026-08-07,2026-08-08,2,active
url:legacyvintagejewels.com/products/webb-rock-crystal-necklace,David Webb Rock Crystal Necklace,necklace,,,asking,220000,USD,Legacy Vintage Jewels,https://legacyvintagejewels.com/products/webb-rock-crystal-necklace,LVJ-DW-EXZZN-37,"David Webb Rock Crystal Necklace Enhance your jewelry collection with this striking David Webb Rock Crystal Necklace, a stunning testament to the designer's craftsmanship and artistic vision. This exquisite piece features a series of black enamel links elegantly connecting to pear and oval cut rock ",shopify:legacyvintagejewels.com,2026-08-07,2026-08-08,2,active
url:yafasignedjewels.com/products/david-webb-tiger-s-eye-turquoise-and-diamond-x-necklace-bracelet,"DAVID WEBB Tiger’s Eye, Turquoise and Diamond “X” Necklace/Bracelet",bracelet,,,asking,215000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-tiger-s-eye-turquoise-and-diamond-x-necklace-bracelet,N2692,"A masterful example of David Webb’s versatility and inventive spirit, this striking necklace is fashioned in 18K yellow gold and platinum, composed of carved tiger’s eye and vivid turquoise panels accented by pavé-set diamonds totaling approximately 7.02 carats. The bold “X” motif—an emblem of Webb’",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
url:yafasignedjewels.com/products/david-webb-coral-bead-white-enamel-and-diamond-necklace,"DAVID WEBB Coral Bead, White Enamel and Diamond Necklace",necklace,,,asking,215000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-coral-bead-white-enamel-and-diamond-necklace,N2693,"18K Yellow Gold and Platinum Necklace Featuring Round Coral Beads, Round-Brilliant Diamonds, and Tulip-Tipped White Enamel Transition Links. Approximate Diamond Weight - 9.47 CTS Signed - David Webb",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-platinum-18k-yellow-gold-coral-dragon-carved-green-emerald-necklace-rr7600,David Webb Platinum & 18K Yellow Gold Coral Dragon Carved Green Emerald Necklace,necklace,,,asking,214500,USD,The Back Vault,https://thebackvault.com/products/david-webb-platinum-18k-yellow-gold-coral-dragon-carved-green-emerald-necklace-rr7600,RR7600,David Webb Platinum & 18K Yellow Gold Coral Dragon Carved Green Emerald Necklace. This is an exceptional coral link style necklace depicting a fierce Dragon. Accented with a large green emerald suspended from a removable pendant. Total Length: 36 inches. Very rare David Webb necklace. Certificate in,shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-bombe-platinum-56-84-carats-hanging-door-knocker-earrings-rr3917,David Webb Bombe Platinum 56.84 carats Hanging Door Knocker Earrings,earrings,,,asking,214500,USD,The Back Vault,https://thebackvault.com/products/david-webb-bombe-platinum-56-84-carats-hanging-door-knocker-earrings-rr3917,RR3917,"Lustrous diamond day to night diamond earrings by David Webb. Absolutely out of this world these earrings will stop the traffic! Red carpet worthy these stunning one of a kind David Webb earrings are generously mounted with over 50 carats of brilliant cut diamonds! Wow! Extra comfortable on the ear,",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:legacyvintagejewels.com/products/david-webb-ruby-and-diamond-bracelet,David Webb Ruby and Diamond Bracelet,bracelet,1970s,,asking,210000,USD,Legacy Vintage Jewels,https://legacyvintagejewels.com/products/david-webb-ruby-and-diamond-bracelet,LVJ-DW-TOZBV-73,"David Webb Ruby and Diamond Bracelet A timeless creation by renowned jeweler David Webb, this exquisite Ruby and Diamond Bracelet encapsulates the opulence and elegance of 1970s design. Featuring approximately 45 carats of brilliant, colorless diamonds paired with rich, pavé-set rubies at the center",shopify:legacyvintagejewels.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-platinum-18k-yellow-gold-openwork-32-00-carats-diamond-bracelet-rr1940,David Webb Platinum & 18K Yellow Gold Openwork 32.00 carats Diamond Bracelet,bracelet,,,asking,207300,USD,The Back Vault,https://thebackvault.com/products/david-webb-platinum-18k-yellow-gold-openwork-32-00-carats-diamond-bracelet-rr1940,RR1940,Impressive statement bracelet crafted in 18K Yellow gold by David Webb. Set with round brilliant cut diamonds totaling 22 carats (approx.) upon an open work design. Width: 43mm (at it's widest) Wrist Size: 7.5 inches. Center Diamond Weight: 0.00 Metal Type: Platinum & 18K Yellow Gold Metal Weight: 2,shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:oakgem.com/products/david-webb-27-carat-diamond-emerald-pearl-gold-platinum-bracelet,David Webb 27 Carat Diamond Emerald Pearl Gold Platinum Bracelet,bracelet,,,asking,195000,USD,Oak Gem,https://oakgem.com/products/david-webb-27-carat-diamond-emerald-pearl-gold-platinum-bracelet,OG-36036,"Exquisite 18k gold and platinum bracelet by David Webb, set with 27.13ctw SI1/H diamonds and 9.84ctw emeralds, with 10.3mm to 11.5mm South Sea pearls. Comes with David Webb COA. DESIGNER: David Webb MATERIAL : 18k Yellow Gold / Platinum GEMSTONES: Diamond, Emerald, Pearl DIMENSIONS: Bracelet will fi",shopify:oakgem.com,2026-08-07,2026-08-08,2,active
url:ericoriginals.com/products/vintage-1970s-david-webb-cabochon-emerald-and-sapphire-necklace-with-diamonds,Vintage 1970s David Webb Cabochon Emerald and Sapphire Necklace with Diamonds,necklace,1970s,,asking,190000,USD,Eric Originals & Antiques,https://ericoriginals.com/products/vintage-1970s-david-webb-cabochon-emerald-and-sapphire-necklace-with-diamonds,N2290,"Finely crafted in 18k yellow gold and platinum with Cabochon Emeralds weighing a total of 32.11 carats, Cabochon Sapphires weighing a total of 35.73 carats, and Round Brilliant cut Diamonds weighing a total of approximately 12.00 carats. Signed by David Webb Circa 1970s 14 1/2 inches",shopify:ericoriginals.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-platinum-18k-yellow-gold-54ct-cabochon-cut-green-emerald-diamond-ring-rr9225,David Webb Platinum & 18K Yellow Gold 54ct Cabochon Cut Green Emerald Diamond Ring,ring,,,asking,188500,USD,The Back Vault,https://thebackvault.com/products/david-webb-platinum-18k-yellow-gold-54ct-cabochon-cut-green-emerald-diamond-ring-rr9225,RR9225,With David Webb Certificate. Center Diamond Weight: 0.00 Measurements: Finger Size 6 Metal Type: Platinum & 18K Yellow Gold Metal Weight: 40.9 gr. Signed: WEBB Condition: Excellent. Stock: RR9225,shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:yafasignedjewels.com/products/david-webb-cabochon-ruby-and-diamond-ear-clips,DAVID WEBB Cabochon Ruby and Diamond Ear Clips,earrings,,,asking,185000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-cabochon-ruby-and-diamond-ear-clips,E2024,"Originally unveiled to great acclaim at the Doha Jewelry Show, these David Webb ear clips are nothing short of showstoppers. Crafted in 18K white gold and platinum, they bloom with lush cabochon rubies set among a dazzling constellation of diamonds. Bold, joyful, and irresistibly feminine — each ear",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
url:ericoriginals.com/products/david-webb-20-00-carat-diamond-cluster-earrings,David Webb 20.00 Carat Diamond Cluster Earrings,earrings,,,asking,185000,USD,Eric Originals & Antiques,https://ericoriginals.com/products/david-webb-20-00-carat-diamond-cluster-earrings,E5568,Finely crafted in platinum with Pear-Shaped and Marquise cut Diamonds weighing approximately a total of 20.00 carats. Signed by David Webb Comes with its Certificate of Authenticity from David Webb.,shopify:ericoriginals.com,2026-08-07,2026-08-08,2,active
url:ericoriginals.com/products/vintage-1960s-david-webb-concealed-dial-diamond-watch-bracelet,Vintage 1960s David Webb Concealed Dial Diamond Watch Bracelet,bracelet,1960s,,asking,180000,USD,Eric Originals & Antiques,https://ericoriginals.com/products/vintage-1960s-david-webb-concealed-dial-diamond-watch-bracelet,W1448,Finely crafted in platinum with Round Brilliant and Baguette cut Diamonds weighing a total of approximately 43.00 carats. Signed by David Webb Circa 1960s Size 6 1/4 inches,shopify:ericoriginals.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-platinum-18k-yellow-gold-aquamarine-diamonds-hinged-cuff-bangle-bracelet-rr6573,"David Webb Platinum & 18K Yellow Gold Aquamarine, Diamonds, Hinged Cuff Bangle Bracelet",bracelet,,,asking,178700,USD,The Back Vault,https://thebackvault.com/products/david-webb-platinum-18k-yellow-gold-aquamarine-diamonds-hinged-cuff-bangle-bracelet-rr6573,RR6573,"Impressive 18k gold and platinum bracelet by David Webb, with 58mm x 28mm aquamarine and approx. 13.99ctw in H/VS diamonds. Bracelet will fit up to 7"" wrist and is 1.25"" wide. Center Diamond Weight: 0.00 Measurements: Wrist Size Up To: 7inches Metal Type: Platinum & 18K Yellow Gold Metal Weight: 255",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-crossover-platinum-18k-yellow-gold-carved-emerald-and-diamond-bracelet-rr6328,David Webb Crossover Platinum & 18K Yellow Gold Carved Emerald And Diamond Bracelet,bracelet,,,asking,178700,USD,The Back Vault,https://thebackvault.com/products/david-webb-crossover-platinum-18k-yellow-gold-carved-emerald-and-diamond-bracelet-rr6328,RR6328,"David Webb Crossover Platinum and Yellow Gold Carved Emerald Cuff Bracelet. Two emeralds measure 134 carats, and there are 175 round brilliant cut diamonds 5.91cts. Comes with David Webb certificate. Wrist Size: 6.5 inches. Center Diamond Weight: 5.91 Measurements: Wrist Size: 6.5 inches. Metal Type",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-emerald-platinum-18k-yellow-gold-pear-shaped-green-emerald-and-diamond-vintage-necklace-rr9457,David Webb Emerald Platinum & 18K Yellow Gold Pear Shaped Green Emerald And Diamond Vintage Necklace,necklace,,,asking,175500,USD,The Back Vault,https://thebackvault.com/products/david-webb-emerald-platinum-18k-yellow-gold-pear-shaped-green-emerald-and-diamond-vintage-necklace-rr9457,RR9457,"Immerse yourself in the vivid world of color with this exuberant, voluptuous, and audacious diamond and emerald necklace by David Webb. A vintage masterpiece crafted in platinum and yellow gold, this necklace is a celebration of luxury, design, and exceptional gemstones. The captivating combination ",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-platinum-18k-yellow-gold-double-lion-black-enamel-sapphire-eyes-diamonds-bracelet-rr9049,David Webb Platinum & 18K Yellow Gold Double Lion Black Enamel Sapphire Eyes Diamonds Bracelet,bracelet,,,asking,175500,USD,The Back Vault,https://thebackvault.com/products/david-webb-platinum-18k-yellow-gold-double-lion-black-enamel-sapphire-eyes-diamonds-bracelet-rr9049,RR9049,"Prepare to be captivated by the extraordinary beauty and rarity of this vintage David Webb Double Lion Head Bracelet. Crafted with meticulous attention to detail, this exquisite piece showcases the unparalleled artistry and craftsmanship for which David Webb is renowned. Made in 18k yellow gold and ",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:yafasignedjewels.com/products/david-webb-black-enamel-diamond-coral-and-carved-emerald-ear-clips,DAVID WEBB Black Enamel Diamond Coral and Carved Emerald Ear Clips,earrings,2000,,asking,175000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-black-enamel-diamond-coral-and-carved-emerald-ear-clips,E2328,"A bold and highly artistic pair, these DAVID WEBB ear clips exemplify the house’s signature sculptural style and vibrant use of materials. Crafted in platinum and 18K yellow gold, the design features richly carved emerald centers with intricate floral motifs, framed by dynamic elements of black enam",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
url:ericoriginals.com/products/vintage-1960s-david-webb-emerald-and-diamond-ring,Vintage 1960s David Webb Emerald and Diamond Ring,ring,1960s,,asking,175000,USD,Eric Originals & Antiques,https://ericoriginals.com/products/vintage-1960s-david-webb-emerald-and-diamond-ring,R8151,"Finely crafted in 18k yellow gold and platinum with an AGL certified, Colombian origin Emerald weighing 4.43 carats, and a GIA certified Asscher cut Diamond weighing 3.10 carats, G color, VS2 clarity, GIA #1192096538. The two stones are accented with Round cut Emeralds and Round Brilliant cut Diamon",shopify:ericoriginals.com,2026-08-07,2026-08-08,2,active
url:yafasignedjewels.com/products/david-webb-diamond-black-enamel-link-pendant-necklace,"DAVID WEBB Diamond, Black Enamel Link Pendant Necklace",necklace,,,asking,165000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-diamond-black-enamel-link-pendant-necklace,N2608,"DAVID WEBB Diamond, Black Enamel Link Pendant Necklace An 18k yellow gold and platinum long link pendant necklace, set with diamonds and black enamel. total length is approx. 27.5"" and pendant 2.25"" signed ""David Webb""",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-18k-yellow-gold-green-emerald-cabochon-ruby-and-diamond-bracelet-rr8137,"David Webb 18K Yellow Gold Green Emerald Cabochon, Ruby And Diamond Bracelet",bracelet,1970,,asking,162500,USD,The Back Vault,https://thebackvault.com/products/david-webb-18k-yellow-gold-green-emerald-cabochon-ruby-and-diamond-bracelet-rr8137,RR8137,"David Webb 18K Yellow Gold Green Emerald Cabochon, Ruby And Diamond Bracelet. David Webb cuff bracelet with Emerald Cabochons, Rubies, Sapphires, and Diamonds set in 18K Yellow Gold. This stunning and iconic bracelet from the 1970's is sure to become an instant favorite for any collector. 108 Diamon",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:ericoriginals.com/products/vintage-1970s-david-webb-33-80-carat-diamond-bombe-bracelet,Vintage 1970s David Webb 33.80 Carat Diamond Bombe Bracelet,bracelet,1970s,,asking,158500,USD,Eric Originals & Antiques,https://ericoriginals.com/products/vintage-1970s-david-webb-33-80-carat-diamond-bombe-bracelet,B3406,Finely crafted in platinum with Round Brilliant cut Diamonds weighing a total of approximately 33.80 carats. Signed by David Webb Circa 1970s Size 6 3/4 inches Comes with its Certificate of Authenticity.,shopify:ericoriginals.com,2026-08-07,2026-08-08,2,active
url:ericoriginals.com/products/vintage-1950s-david-webb-gold-clutch-with-10-00-carat-ruby-and-diamonds,Vintage 1950s David Webb Gold Clutch with 10.00 Carat Ruby and Diamonds,other,1950s,,asking,150000,USD,Eric Originals & Antiques,https://ericoriginals.com/products/vintage-1950s-david-webb-gold-clutch-with-10-00-carat-ruby-and-diamonds,PN1578,"Finely crafted in 18k with a carved Ruby weighing approximately 10.00 carats, 44 Round Brilliant cut Diamonds weighing approximately a total of 4.00 carats, and a mirror. Signed by David Webb Circa 1957 3 1/2 x 5 x 2 inches",shopify:ericoriginals.com,2026-08-07,2026-08-08,2,active
url:saidiansons.com/products/david-webb-cabochon-sapphire-emerald-bracelet,David Webb Cabochon Sapphire & Emerald Bracelet,bracelet,,,asking,150000,USD,Saidian & Sons,https://saidiansons.com/products/david-webb-cabochon-sapphire-emerald-bracelet,7121411899462,"David Webb Cabochon Sapphire & Emerald Bracelet This beautiful bracelet is made of platinum and 18 karat white gold set with 43 cabochon sapphires, the largest of which is approximately 20 carats, 44 cabochon emeralds, and 179 multi cut diamonds. Signed David Webb Stamped Platinum 18K Total Approxim",shopify:saidiansons.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-girandole-carved-emerald-and-diamond-dangle-earrings-rr8426,David Webb Girandole Carved Emerald And Diamond Dangle Earrings,earrings,,,asking,149500,USD,The Back Vault,https://thebackvault.com/products/david-webb-girandole-carved-emerald-and-diamond-dangle-earrings-rr8426,RR8426,"An impressive pair of earrings designed by David Webb. Easily converted from day-to-night, the earrings feature two detachable drops. Crafted in 18 karat yellow gold and platinum, the earrings center on carved emeralds, carved sapphire fluted beads, and high-quality round brilliant cut diamonds weig",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:yafasignedjewels.com/products/david-webb-dinner-roll-necklace,DAVID WEBB 'Dinner Roll' Necklace,necklace,,,asking,145000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-dinner-roll-necklace,N2697,"Carved rock crystal, brilliant-cut diamonds, 18K white gold, and platinum. Collection - Twilight Approximate Diamond Weight - 7.82 CTS Signed - David Webb",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-platinum-18k-yellow-gold-faceted-coral-and-diamond-bracelet-rr7769,David Webb Platinum & 18K Yellow Gold Faceted Coral And Diamond Bracelet,bracelet,,,asking,141000,USD,The Back Vault,https://thebackvault.com/products/david-webb-platinum-18k-yellow-gold-faceted-coral-and-diamond-bracelet-rr7769,RR7769,"David Webb 18K yellow gold multi-layered faceted coral and diamond station bracelet in yellow gold. Such a powerful and bold piece by America's most desirable jeweler. This bracelet is perfect for someone with a wrist size 6.75 to 7 inches. This bracelet has a semi-flexible design, that fastens with",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:oakgem.com/products/david-webb-24-36ctw-diamond-gold-platinum-necklace,David Webb 24.36ctw Diamond Gold Platinum Necklace,necklace,,,asking,140000,USD,Oak Gem,https://oakgem.com/products/david-webb-24-36ctw-diamond-gold-platinum-necklace,OG-3216,"David Webb 18k gold and platinum necklace, adorned with 24.36ctw VS-SI1/H diamonds. Comes with original David Webb COA paperwork. DESIGNER: David Webb MATERIAL : 18k Gold / Platinum GEMSTONES: Diamond DIMENSIONS: Necklace's circumference is 16"", widest center point is 20mm. MARKED/TESTED : 18k Plat,",shopify:oakgem.com,2026-08-07,2026-08-08,2,active
url:oakgem.com/products/david-webb-diamond-coral-emerald-enamel-gold-platinum-lion-bracelet,David Webb Diamond Coral Emerald Enamel Gold Platinum Lion Bracelet,bracelet,,,asking,135000,USD,Oak Gem,https://oakgem.com/products/david-webb-diamond-coral-emerald-enamel-gold-platinum-lion-bracelet,OG-3561,"Impressive David Webb lion bracelet, set in 18k yellow gold and platinum, featuring carved coral, emeralds and approx. 3 carats in VS-SI1/H diamonds. Bracelet will fit approx. 7"" wrist, lion head is 29mm x 38mm. Previously Owned. Excellent Condition.",shopify:oakgem.com,2026-08-07,2026-08-08,2,active
url:macklowegallery.com/products/david-webb-new-york-unique-crosshatch-diamond-bracelet,David Webb New York Unique “Crosshatch” Diamond Bracelet,bracelet,1960,,asking,135000,USD,Macklowe Gallery,https://macklowegallery.com/products/david-webb-new-york-unique-crosshatch-diamond-bracelet,BA-20590,"Created in the 1960s in the studio of David Webb, this one-of-a-kind “Crosshatch” diamond bracelet in 18K gold and platinum is set with over 16.50 carats of diamonds. The bombé curved top section is paved with round brilliant-cut diamonds arranged in a crosshatch pattern, and framed in a foliate set",shopify:macklowegallery.com,2026-08-07,2026-08-08,2,active
url:yafasignedjewels.com/products/david-webb-laurel-leaf-necklace,DAVID WEBB 'Laurel Leaf' Necklace,necklace,,,asking,132000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-laurel-leaf-necklace,N2803,"Brilliant-cut diamonds, hammered 18K gold, and platinum. Approximate Length - 16.25"" Approximate Diamond Weight - 8.60 CTS Signed - David Webb",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
url:legacyvintagejewels.com/products/pair-of-emerald-and-diamond-pendent-ear-clips,David Webb Pair of Emerald and Diamond Pendent Ear Clips,necklace,,,asking,130000,USD,Legacy Vintage Jewels,https://legacyvintagejewels.com/products/pair-of-emerald-and-diamond-pendent-ear-clips,LVJ-DW-YWPUU-41,"David Webb Pair of Emerald and Diamond Pendent Ear Clips These remarkable earrings, signed by the renowned designer David Webb, capture an air of opulence and artistry. Each surmount is intricately designed as a flowerhead, featuring a luminous cabochon emerald encircled by brilliant-cut diamond pet",shopify:legacyvintagejewels.com,2026-08-07,2026-08-08,2,active
url:legacyvintagejewels.com/products/david-webb-ruby-and-diamond-bracelet-copy,David Webb Carved Emerald and Diamond Bangle,bracelet,,,asking,130000,USD,Legacy Vintage Jewels,https://legacyvintagejewels.com/products/david-webb-ruby-and-diamond-bracelet-copy,LVJ-DW-YYXBN-127,"David Webb Carved Emerald and Diamond Bangle A bold and masterful creation by David Webb, this extraordinary bangle exudes regal elegance with its intricate craftsmanship and captivating gemstone arrangement. At its heart, a mesmerizing carved emerald, richly textured with deep verdant hues, is beze",shopify:legacyvintagejewels.com,2026-08-07,2026-08-08,2,active
url:ericoriginals.com/products/vintage-1960s-david-webb-pearl-and-detachable-bombe-diamonds-dangle-earrings,Vintage 1960s David Webb Pearl and Detachable Bombe Diamonds Dangle Earrings,earrings,1960s,,asking,129750,USD,Eric Originals & Antiques,https://ericoriginals.com/products/vintage-1960s-david-webb-pearl-and-detachable-bombe-diamonds-dangle-earrings,E5406,"Finely crafted in platinum and 18k white gold with Cultured Pearls measuring 13mm, and Round Brilliant cut Diamonds. Signed by David Webb Circa 1960s Top part: 1 inch diameter Detachable dangle: 1 3/4 inch Comes with its certificate of authenticity.",shopify:ericoriginals.com,2026-08-07,2026-08-08,2,active
